"concept","cuis","rep_cuis","excluded_cuis","cc"
"nyha class $nmbr$ or higher","C0205250;C1882083","C0018802;C1882083","",453
"troponin or ckmb value","C0010290;C0041199;C0523584;C1522609",NULL,NULL,9
"laba users","C1706077",NULL,NULL,534
"ls mean $nmbr$ ci a","C0008107;C0023668;C0444504;C2347634;C2348143;C3259781",NULL,NULL,519
"non mtx csdmards","C0025677;C1417487;C1518422","C0242708",";C0026544",231
"ldl cholesterol lowering therapy","C0023824;C0039798;C0087111;C0202117;C0441994;C1363945;C2003888","C0086440","",1773
"ticagrelor $nmbr$ mg n $nmbr$","C0024671;C0026410;C0439269;C1960952;C1999375;C2346927;C4321396;C4521761",NULL,NULL,2299
"eze simva $nmbr$ $nmbr$ mg n $nmbr$","C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761","C0360714;C1142985","",1862
"patients with deep vein thrombosis only","C0030705;C0149871;C0205171;C1720467",NULL,NULL,1643
"minor","C0026193;C0205165",NULL,NULL,1474
"s $nmbr$ n $nmbr$","C2986823","","",-10
"major and crnm bleeds","C0019080;C0205082;C0205164;C4318856;C4521762",NULL,NULL,1472
"mean percentage of nights without heartburn","C0018834;C0240526;C0439165;C0444504;C1549488;C1561533;C2347634;C2348143",NULL,NULL,291
"negative","C0205160;C1513916;C2825415;C2825491;C3853545",NULL,NULL,1569
"nonblack race no f","C0016327;C0034510;C1706779;C3853635",";C0034510","",1107
"$nmbr$ or $nmbr$ d wk","C0073187;C0332173;C0332174;C0439230;C4484261",NULL,NULL,1833
"mean eq $nmbr$ d response $nmbr$ ci","C0008107;C0205163;C0439185;C0444504;C0871261;C1704632;C1706817;C2347634;C2348143;C2911692;C3259781",NULL,NULL,519
"$nmbr$ $nmbr$ ld","C0694649",NULL,NULL,1677
"yes no","C1512698",NULL,NULL,464
"any medication","C0013227;C3244316;C4284232",NULL,NULL,366
"mean fecal calprotectin level mg g stool sd","C0015733;C0183622;C0441889;C0444504;C0456079;C0950624;C1300563;C1335798;C1366582;C1547707;C2347634;C2348143;C2699239;C2946261","","",780
"h pylori serology","C0036745;C0079488;C0220911;C0455278",NULL,NULL,573
"hyperkalemia","C0020461;C4552983","C0020461;C4552983",";C0439375;C0700287;C0684224;C0035173",30
"history of bowel resections n","C0019664;C0019665;C0262512;C0262926;C0741614;C1705255;C2004062",NULL,NULL,832
"h pylori infection","C0850666",NULL,NULL,573
"caucasian simva $nmbr$","C0007457;C0043157","C0043157","",1329
"treated patients with baseline and $nmbr$ post baseline ef cacy measurement bp value for treatment group comparison proactive intervention vs usual care was calculated based on a $nmbr$ sample t test for continuous variables and chi square test for categorical variables cbp values were measured at baseline week $nmbr$ whereas information on all of the other variables listed was collected during screening abbreviations bmi body mass index bp blood pressure chd coronary heart disease crucial cluster randomized usual care vs caduet investigation assessing long term risk dbp diastolic blood pressure dm diabetes mellitus hdl c high density lipoprotein cholesterol ldl c low density lipoprotein cholesterol sd standard deviation sbp systolic blood pressure tc total cholesterol tg triglyceride","C0000723;C0005823;C0008041;C0011849;C0012641;C0018787;C0023822;C0030705;C0034656;C0035647;C0037623;C0039411;C0039798;C0040642;C0041004;C0041405;C0041698;C0042295;C0065055;C0085805;C0087111;C0168634;C0184661;C0201950;C0205251;C0220825;C0220908;C0220909;C0237403;C0242485;C0280604;C0332174;C0332293;C0370003;C0374505;C0428883;C0439230;C0439828;C0441833;C0443252;C0444686;C0444706;C0488055;C0543421;C0549178;C0683312;C0687676;C0687744;C0745732;C0871420;C0871470;C0871472;C0886296;C1149372;C1257890;C1261322;C1273869;C1305855;C1306620;C1330119;C1415692;C1419788;C1441506;C1442488;C1516048;C1516695;C1516698;C1519504;C1522326;C1522609;C1527178;C1533716;C1533734;C1550472;C1552578;C1698960;C1704687;C1705169;C1705428;C1705429;C1705938;C1705981;C1707455;C1708288;C1710031;C1710032;C1710477;C1824670;C1947933;C2347026;C2348164;C2699239;C2986530;C3272378;C3272447;C3274822;C3469826;C3538928;C3538994;C3539643;C3541902;C3542407;C3815594;C3887704;C3887980;C3889287;C3890211;C4048187;C4318478;C4321351;C4522122;C4522223;C4552904",NULL,NULL,1012
"with dyspnoea","C0013404;C1963100","C0013404","",1227
"blood eosinophils count","C0014467;C0750480;C1705566","C0014467","",849
"current smoking no","C0037369;C0453996;C0521116;C1705970;C1881674","C0037369","",420
"valve replacement repair with or without cabg","C0010055;C0035139;C0043240;C0184252;C0374711;C0559956;C1186983;C1555302;C1704414;C3888056;C4319951;C4553149","C0374711;C0184252",";C1704414;C3888056;C0035139;C0043240;C4553149;C1720467",8
"$nmbr$ or $nmbr$ n","C0369718;C0441922",NULL,NULL,1540
"impacts","C1825598;C4049986",NULL,NULL,1629
"dvt","C0149871;C2926618;C3899446","C0149871","",252
"race non white","C0007457;C0034510;C0043157;C0220938;C1518422;C1706779;C3853635","C0034510;C1518422;C0043157","",1401
"fbs $nmbr$ mg dl","C0439269;C3812213",NULL,NULL,192
"seizure history n","C0019664;C0019665;C0036572;C0262512;C0262926;C1705255;C1959629;C2004062;C4553401",NULL,NULL,832
"a glucosidase inhibitors $nmbr$","C1512211",NULL,NULL,814
"duration antiplatelet use as of study duration sd","C0557651;C1881378;C2603343;C2699239;C2826775","","",1191
"focal","C0205234",NULL,NULL,1127
"$nmbr$ $nmbr$ mg bid","C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761",NULL,NULL,192
"demographic characteristics mean sd unless otherwise indicated","C0444504;C0683970;C1444656;C2347634;C2348143;C2699239",NULL,NULL,583
"i $nmbr$ $nmbr$ $nmbr$ i $nmbr$","C0021966;C0221138",NULL,NULL,1021
"ratio of hrs $nmbr$ ci p for sex interaction","C0008107;C0009253;C0036864;C0079399;C0456603;C0804628;C1314687;C1522384;C1547037;C1568891;C1704675;C3259781",NULL,NULL,519
"symptomatic localization related","C0231220;C0439849;C0445223;C0475264;C1744691",NULL,NULL,1947
"body mass index kg m meanisd","C0005893;C0578022;C1305855;C1532718","C1305855","",1734
"one of the above","C0205447",NULL,NULL,737
"bmi category kg m $nmbr$","C0578022;C0683312;C1532718;C3889287",NULL,NULL,1735
"modified rankin scale score","C0449820;C2984908;C3854213;C4050231",NULL,NULL,2054
"glycatedhemoglobin category","C0683312;C3889287",NULL,NULL,562
"placebo ls means n","C0023668;C0032042;C1696465;C1704970;C1706408","C0032042","",28
"$nmbr$ asa compounds n","C0004057;C0205198;C1706082;C3853627","C0368663","",1691
"mean bmi s d kg m $nmbr$","C0444504;C0578022;C1532718;C2347634;C2348143",";C1305855","",206
"crcl $nmbr$ ml min","C0439445;C1846718","C3811844;C0017654","",307
"factor","C1521761;C2827422",NULL,NULL,1111
"dpp $nmbr$ inhibitors","C0243077;C1414174",NULL,NULL,610
"chd history n","C0019664;C0019665;C0262512;C0262926;C0280604;C1705255;C2004062;C3542407",NULL,NULL,970
"ancestry f","C0016327","","",-10
"mean ipss storage sub score sd","C0337174;C0542339;C1019118;C1264637;C1698986;C1753314;C1998280;C2699239;C2827405;C3533236;C3811063",NULL,NULL,539
"hps","C0242994",NULL,NULL,142
"$nmbr$ vessels treated","C0005847;C1522326",NULL,NULL,743
"rate control group n $nmbr$","C0441848;C0489879",NULL,NULL,1638
"control n $nmbr$","C0243148;C1550141;C1882979;C2587213;C3274648;C4553389",NULL,NULL,675
"timi flow grade $nmbr$ of mi culprit vessel pre pci","C0005847;C0332152;C0441800;C0740175;C0919553;C2257086;C3244287;C3272266;C3669034;C3810814;C4049621",NULL,NULL,743
"mean change at week $nmbr$","C0332174;C0392747;C0439230;C0443172;C0444504;C1705241;C2347634;C2348143;C4319952",NULL,NULL,767
"medication use no total no","C0013227;C0042153;C0439175;C0439810;C0457083;C1947944;C3244316;C4284232",NULL,NULL,441
"pad lower extremities","C0023216;C0182158;C0332568;C3540603;C3669270;C3814046;C4319657",NULL,NULL,1752
"sulphonylureas only","C0038766;C0205171;C1720467","C0038766","",752
"death st","C0011065;C0036056;C1306577;C3272372;C4082313;C4552775",NULL,NULL,246
"acitretin","C0050559",NULL,NULL,994
"hba $nmbr$ c levels","C0019016;C0441889;C1825777;C3538758","","",820
"inferior","C0542339;C0678975",NULL,NULL,1245
"populations","C0032659;C1257890",NULL,NULL,904
"sustained mucosal healingc n n","C0026724;C0443318",NULL,NULL,328
"hmg coa reductase inhibitors","C0360714;C2756999;C3539119",NULL,NULL,560
"implantable cardioverter defibrillator n","C0162589;C2825184",NULL,NULL,1628
"undetermined etiology n","C0478157","C0478157","",1087
"enalapril lcz $nmbr$ n $nmbr$ n $nmbr$","C0014025",NULL,NULL,164
"time since as diagnosis years mean sd","C0011900;C0040223;C0439234;C0444504;C1704338;C1704656;C2347634;C2348143;C2699239;C3541383",NULL,NULL,1099
"duration $nmbr$ years n","C0439234;C0449238;C2926735","C0449238","",1989
"age distribution years n","C0001782;C0439234;C0520511;C1510829;C1704711","C1510829","",481
"first medical contact in ambulance","C0002422;C0199168;C0205435;C0205476;C0332158;C0337611;C1279901;C1705415;C3812666;C3846685","C0002422",";C4049621",191
"body weight at randonization ixrs","C0005910;C1305866","C0005910","",1250
"edss stratification no","C0451246;C1514983;C3887783",NULL,NULL,1062
"cornell voltage duration product mm ms","C0449238;C0598352;C1514468;C1704444;C2349943;C2926735;C3539704;C3713294;C4330985;C4554674",NULL,NULL,126
"mean qmax score by bmi $nmbr$ $nmbr$ to $nmbr$ $nmbr$ kg m $nmbr$","C0578022;C1532718;C3533236",";C1305855","",206
"microalbuminuria at baseline $nmbr$ of patients treated","C0030705;C0168634;C0730345;C1442488;C1522326",NULL,NULL,625
"area of retinal thickening within the grid mean sd dab","C0017446;C0086162;C0205146;C0444504;C1081457;C1302690;C1415284;C2347634;C2348143;C2348395;C2699239;C2825313;C4522144",NULL,NULL,370
"fair poor","C0032854;C0542537;C2700379;C2911689","C2700379","",234
"current smoker no","C3173209;C3241966","C0037369","",420
"mean sd crp mg l","C0439268;C0444504;C2347634;C2348143;C2699239;C3890735;C4048285","C0006560","",286
"dopamine agonist use no","C0042153;C0178601;C0457083;C1947944;C3536925",NULL,NULL,118
"$nmbr$ $nmbr$ $nmbr$ l l","C3539687","","",-10
"ppg post meal test mmol l","C0022885;C0039593;C0376674;C0392366;C0456984;C1418888;C1515976;C1532563;C3831328;C4318744",NULL,NULL,242
"n observed","C0369718;C0441922;C1441672",NULL,NULL,1553
"demographic characteristic","C0011298;C1521970","C1521970","",1110
"established ascvd or $nmbr$ cv risk factors","C0035648;C0443211;C1272684;C1553898;C3538987;C3665365;C4048877;C4318503","C0004153","",1698
"number of vessels disease","C0042373;C0237753;C0449788",NULL,NULL,1556
"fvc predicted","C0681842;C1882327;C3714541",NULL,NULL,1599
"sesbp mmhg mean _sd a","C0439475;C0444504;C2347634;C2348143;C2699239",NULL,NULL,2127
"mean bmi $nmbr$ ci","C0008107;C0444504;C0578022;C2347634;C2348143;C3259781",NULL,NULL,1735
"baseline dbp","C0168634;C0536221;C1442488;C3813197;C4281799",NULL,NULL,605
"female sex n race n","C0034510;C0086287;C1706779;C3853635",NULL,NULL,2014
"multivariate logistic modelb","C0242415",NULL,NULL,1563
"gold stage iv","C0018026;C0022326;C0205390;C1300072;C1304897;C1306673;C4265176",NULL,NULL,541
"post bronchodilator fev $nmbr$ l mean sd","C0444504;C2347634;C2348143;C2599594;C2699239;C3714541",NULL,NULL,2142
"selexipag n $nmbr$","C2000145",NULL,NULL,799
"prebronchodilator fev $nmbr$ l t","C2599602;C3714541",NULL,NULL,1599
"fasting lipid levels mmol l","C0015663;C0428460;C1532563","C0023779;C0015663","",1847
"prior hf hospitalization","C0018488;C0019993;C0332152;C1313497;C1538440;C2826257;C3273279",NULL,NULL,2359
"placebo famotidine $nmbr$","C0015620;C0032042;C1696465;C1706408","C0015620","",74
"symptomatic padt","C0231220",NULL,NULL,611
"thiazolidinedione yes","C0289779;C1257987;C1549445;C1705108;C1710701;C3537039",NULL,NULL,147
"humerus fracture","C0020162",";C0020162","",1115
"without dm n $nmbr$ i $nmbr$","C0011816;C0021966;C0221138;C0369718;C0441922;C3250443",NULL,NULL,955
"other uc related gi surgical procedure","C0439849;C0445223;C0543467;C1708130;C3539617;C4050121",NULL,NULL,1128
"$nmbr$ $nmbr$ s $nmbr$ $nmbr$ t","C0718146","","",-10
"any serious teaes","C0205404",NULL,NULL,916
"hospitalized exacerbation rates","C0701159;C0871208;C1521828;C4086268","C4086268","",889
"baseline cardiovascular disease","C0007222;C0168634;C1442488","C0007222","",1790
"apremilast","C1678805","C1678805","",1789
"duration of previous use of vka months","C0205156;C0439231;C1552607;C1881378;C2826775",NULL,NULL,1530
"lisinopril","C0065374","C0065374","",847
"$nmbr$ blood eosinophils at baseline","C0014467;C0168634;C1442488",NULL,NULL,625
"haq","C0102923;C0451208",NULL,NULL,1667
"ldl c mmol l sd","C1532563;C2699239","C0023824","",1068
"proactive intervention n $nmbr$ a","C0184661;C0886296;C1273869",NULL,NULL,290
"acr deciles","C1412134;C1515941",NULL,NULL,52
"mean weight sd kg","C0005910;C0022718;C0043100;C0439209;C0444504;C1305866;C1705104;C2347634;C2348143;C2699239;C4054209",NULL,NULL,37
"patient s ga $nmbr$ $nmbr$ mm vas","C0016993;C0030705;C0042815;C3536884;C3827561;C4330985;C4554674",NULL,NULL,1750
"smoking history n","C1519384","C1519384","",1147
"black non hispanic","C0005680;C0027567;C0085756;C0439541;C1518422;C1518424;C1533017;C1533018","C0086409","",865
"managed medically no total no","C0439175;C0439810;C1273870",NULL,NULL,508
"cv death mi or stroke","C0011065;C0038454;C1306577;C3538987;C3810814;C4048877;C4082313;C4318503;C4552775;C4554100",NULL,NULL,323
"ratio of women to men","C0025266;C0043210;C0456603;C1547037","","",306
"beta bloekers","C0330390;C0439096;C2004068","C0001645","",959
"ex smoker","C0337671;C4555205","C0037369","",420
"history ol coronary revascularization","C0019664;C0019665;C0262512;C0262926;C0877341;C1705255;C2004062","C0877341",";C4049621;C1552607",223
"recent treatment $nmbr$ months mmf ggs","C0039798;C0083765;C0087111;C0209368;C0332185;C0439231;C1522326;C1533734;C1705169;C3538994;C3848524;C3887704","C0209368","",304
"fasting triglycerides mean sd mg dl","C0015663;C0041004;C0439269;C0444504;C2347634;C2348143;C2699239",NULL,NULL,2281
"coronary artery bypass grafting","C0010055","C0010055","",1843
"severe n $nmbr$ $nmbr$","C0205082;C4050465;C4050466",NULL,NULL,313
"adjusted hazard ratio $nmbr$ cl","C0456081;C0596019;C2985465","C2985465","",975
"diabetes $nmbr$","C0011847;C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"anti coagulants no","C0848112","C0003280","",450
"handihaler only n","C0205171;C1720467",NULL,NULL,925
"paroxysmal nocturnal dyspnea","C1956415","C1956415","",1226
"time since diagnosis of pah yrf","C0011900;C0030123;C0040223;C1704338;C1704656;C3203102;C3541383;C4284467",NULL,NULL,841
"time since diagnosis of type $nmbr$ diabetes no","C0011847;C0011849;C0011900;C0040223;C1320657;C1550351;C1704338;C1704656;C3541383","C0011849;C1320657","",907
"severity of airflow limitation gold $nmbr$ $nmbr$ n","C0018026;C0231999;C0439793;C0443288;C0449295;C0522510;C1304897","C0024117;C0521117","",213
"statin ezetimibe n","C0360714;C1142985","C0360714;C1142985","",1862
"renal dysfunction","C1565489;C3279454","C1565489","",937
"mi no","C3810814",NULL,NULL,516
"tcomparison of proportion of patients with nyha class lll iv heart failure","C0018801;C0018802;C0030705;C1261077;C1709707;C1882087;C4554158","C0018802;C1882083","",453
"musculoskeletal stiffness","C0427008;C0497254;C2707260",NULL,NULL,1656
"lixisenatide","C2973895",NULL,NULL,759
"allhat llt","C2347090",NULL,NULL,1265
"baseline total pcsk $nmbr$ level","C0168634;C0439175;C0439810;C0441889;C0456079;C1442488;C1547707;C2946261",NULL,NULL,625
"dyspnea at rest nyha iv","C0022326;C0743330;C1275491;C4265176",NULL,NULL,151
"prior antiinflammatory antirheumatic products n","C0003191;C0003209;C0332152;C1514468;C1515999;C2826257",NULL,NULL,2382
"non ischemic","C0475224;C1518422",NULL,NULL,1670
"distal lower","C0205108;C0441994;C1548802;C2003888;C4522154",NULL,NULL,1612
"taking antihypertensive medication at baseline no e","C0003364;C0168634;C1442488;C1515187",";C0003364","",1579
"i intensive $nmbr$ mg of atorvastatin n $nmbr$","C0021966;C0024671;C0026410;C0162425;C0221138;C0286651;C0439269;C0522510;C1283828;C1550453;C1960952;C2346927;C4321396;C4521761","C0286651","",885
"on aspirin at baseline","C0004057;C0168634;C1442488","C0004057","",1366
"change in sesbp ls mean se","C0023668;C0036919;C0392747;C0443172;C0444504;C1705241;C2347634;C2348143;C4319952",NULL,NULL,567
"age at screening","C0001779;C0220908;C0220909;C1698960;C1710031;C1710032;C1710477;C2348164","C0001779","",480
"african american n","C0085756","C0005680",";C1706779",188
"current $nmbr$ cigs day","C0332173;C0439228;C0439505;C0521116;C1570610;C1705970","C0037369;C0521116","",2224
"pre bronchodilator fvc l","C2599602;C3714541",NULL,NULL,682
"triglycerides $nmbr$ mg dl $nmbr$ $nmbr$ mmol l","C0041004;C0439269;C1532563","C0041004","",368
"aortic stenosis","C0003507",NULL,NULL,565
"js $nmbr$ agonists","C0243192;C1552154;C2987634",NULL,NULL,116
"dyslipidemia n","C0242339","C0242339","",1770
"baseline sitting sbp $nmbr$ mm hg","C0085805;C0168634;C0277814;C0439475;C1442488;C2584297;C4050224","C0005823","",1469
"venous graft","C0042449;C0181074;C0332835;C0348013;C1961139",NULL,NULL,917
"recent cardiovascular eventf","C0007226;C0332185;C3887460","C1320716","",414
"prior statin use n $nmbr$","C0042153;C0332152;C0360714;C0457083;C1947944;C2826257","C2826257;C0360714","",2186
"chylomicron cholesterol","C0008377;C0008731;C1325761","C0008731","",1499
"female simva","C0043210;C0086287;C1705497;C1705498",NULL,NULL,586
"inadequate","C0205412;C0439856","C0205412","",403
"ami $nmbr$ mg n $nmbr$","C0024671;C0026410;C0439269;C1960952;C2346927;C4319936;C4321396;C4521761",NULL,NULL,192
"male gender","C0086582;C1706180","C0086582","",1276
"tadalafil $nmbr$ $nmbr$ mg","C0024671;C0026410;C0439269;C1176316;C1960952;C2346927;C4321396;C4521761","C1176316","",855
"fev_ l","C3714541",NULL,NULL,1599
"time to balloon needle min","C0027551;C0040223;C0336867;C0441144;C0702093;C1524029;C1882041;C3541383;C3813700",NULL,NULL,1475
"iuss score mean sd","C0439453;C0444504;C0449820;C2347634;C2348143;C2699239;C4050231",NULL,NULL,1287
"obstructive subscore","C0549186",NULL,NULL,982
"hispanic latin american","C0019576","C0019576","",2257
"$nmbr$ ng ml","C0439275",NULL,NULL,204
"digoxin or digitalis preparation","C0012265;C0304520","C0012265","",989
"$nmbr$ and $nmbr$ predicted arr n $nmbr$ $nmbr$","C0681842;C1882327;C2170357;C4084934",NULL,NULL,51
"canvas n $nmbr$ placebo n $nmbr$ cana $nmbr$ mg n $nmbr$ cana $nmbr$ mg n $nmbr$","C0032042;C1319635;C1418845;C1696465;C1706408;C3281223",NULL,NULL,1302
